Gank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
86,L2526580234,WESTGATE - CHALLENGER MINI,WESTGATE|3 GATEWAY DRIVE,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.: 198400182K|GST NO. :M2-0063230-3,608532,M200632303
85,L03034190580,TAMPINES MALL - H&M,TAMPINES MALL|4 TAMPINES CENTRAL 5|529510,HENNES|H&M|HENNES & MAURITZ|TEL : 64438823|GST REG NO M90366024R,529510,M90366024R
84,L1808940066,LOT ONE - KIDDY PALACE,LOT 1|LOT ONE|21 CHOA CHU KANG,KIDDY PALACE|TEL: 67640790|ROC/GST NO : 19-9201408-M,,199201408M
83,L5751610138,RAFFLES CITY SINGAPORE - SUSHI TEI,RAFFLES CITY|252 NORTH BRIDGE ROAD,SUSHI TEI|GST REG NO:M2-0126393-0|TEL: 63347887|FAX: 63347667,179103,M201263930
82,L57RCS04,RAFFLES CITY SINGAPORE - GUARDIAN,RAFFLES CITY|252 NORTH BRIDGE ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|WWW.GUARDIAN.COM.SG,179103,MR85002257
81,L0300040376,TAMPINES MALL - COURTS,TAMPINES,COURTS SING|197301411C|WWW.COURTS.COM,,M200162650
80,L0202120092,JUNCTION 8 - SWENSEN'S,JUNCTION 8|9 BISHAN PLACE,SWENSEN|SWENSEN'S|TEL: 6252 6229|FAX: 6252 8526|COMPANY REG. N 197803023H|GST NO. M2-0032810-8,579837,M200328108
8,L0701740232,SEMBAWANG SHOPPING CENTRE - GIANT,604 SEMBAWANG|SEMBAWANG SHOPPING CTR|SEMBAWANG SHOPPING,GIANT|TEL: 6484 3115|GST NO MR-8500225-7|BIZ REG NO 53234707B|WWW.GIANTONLINE.COM.SG,758459,MR85002257
79,L1801970497,,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,SAKAE KYO|TEL: (65) 67643678|GST REG: 201008718R,689812,199604816E
78,L05038232529,,IMM MALL|IMM BUILDING|2 JURONG EAST STREET 21|S(609601)|IMM,SUSHI EXPRESS|TEL:6563 2748|GST REG NO:201025838D,609601,201025838D
77,L0502121304,IMM BUILDING - SWENSEN'S,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST STREET 21,SWENSEN|SWENSEN'S|TEL : 6566 7554|FAX: 6561 8026|COMPANY REG. N 197803023H|GST NO. M2-0032810-8,609601,M200328108
76,L0301050210,"TAMPINES MALL - TOYS""R""US",TAMPINES CENTRAL|TAMPINES MALL,TOYSRUS|TOYS 'R' US|TOYRUS.COM|GST REGISTRATION NO. M2-064073-0|HOTLINE: 6733 0190|EMAIL: S9.STAR@TOYSRUS.COM,529510,M20640730
75,L0701830176,SEMBAWANG SHOPPING CENTRE - DAISO JAPAN,SEMBAWANG SHOPPING,DAISO|TEL:6484-3418|ROC: T02FC6208E|GST REG: F0-0006208N,758459,F00006208N
74,L18028850084,LOT ONE - PARADISE DYNASTY,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,PARADISE|PARADISE DYNASTY|TEL: 6766 2380|FAX: 6766 2557|GST REG NO. 201010512H,689812,201010512H
73,L0501961769,IMM BUILDING - WAN CHAI HK TEA ROOM,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG|2 JURONG EAST STREET 21|IMM|609601,WANCHAI|WANCHAI HONG KONG TEA ROOM|GST REG #:200610274Z,609601,200610274Z
72,L0500141745,IMM BUILDING - WATSONS,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
71,L0300720009,TAMPINES MALL - CRYSTAL JADE KITCHEN,TAMPINES MALL|4 TAMPINES CENTRAL 5,CRYSTAL JADE|CRYSTAL JADE KITCHEN|TEL NO: 6788-0633|FAX: 6788-0622|GST NO: M2-8921430-5,529510,M289214305
70,L0601860796,BUGIS JUNCTION - CHALLENGER,BUGIS JUNCTION|200 VICTORIA STREET|188021,CHALLENGER|CHELLENGER TECHNOLOGIES|ROC NO. :198400182K|GST NO. :M2-0063230-3|@CHANLLENGER,188021,M200632303
7,L2501220028,WESTGATE - ISETAN,WESTGATE|JURONG EAST|TEL NO. : 6896,ISETAN|CO.REG.NO. : 197001177H|GST REG. NO. : M2-0011480-9|TEL NO. : 6896-7777|WWW.ISETAN.COM.SG,,M200114809
69,L2400390013,BEDOK MALL - DIN TAI FUNG,BEDOK MALL|11 NEW UPPER CHANGI ROAD,DIN TAIFUNG|TEL:68449489|COREGNO.:200303124C|GSTREGNO.:20-03-03124C,467360,200303124C
68,L0202390320,JUNCTION 8 - BEST DENKI,JUNCTION 8|9 BISHAN PLACE,BEST DENKI|BEST DENKI (S)|TEL: 62588488|GST REG NO.: M2-0053813-7|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,579837,M200538137
67,L0402570474,PLAZA SINGAPURA - SPOTLIGHT,PLAZA SINGAPURA|238839,LEVEL 5::5|PH 65 6733 9808|FAX 65 6733 0576|WWW.SPOTLIGHT.COM.SG|GST NO. M2-8921418-6,238839,M289214186
66,CALT25,CALTEX - CALTEX TAMPINES,1 TAMPINES AVENUE 8|SINGAPORE 529594,CALTEX|TEL: 6260 1780|FAX: 6260 1782|TAX ID: MR-8500235-4|MERCHANT ID: 1049442450,529594,MR85002354
65,L0600030599,BUGIS JUNCTION - GUARDIAN,BUGIS JUNCTION,GUARDIAN|38562800E|GUARDIAN HEALTH,188021,MR85002257
64,L0400030317,PLAZA SINGAPURA - GUARDIAN,PLAZA SINGAPURA|68 ORCHARD ROAD,GUARDIAN|GUARDIAN HEALTH & BEAUTY|WWW.GUARDIAN.COM.SG,238839,MR85002257
63,L1601860090,BUKIT PANJANG PLAZA - CHALLENGER,BUKIT PANJANG PLAZA|1 JELEBU ROAD,CHALLENGER|CHALLENGER TECHNOLOGIES |ROC NO.:198400182K|GST NO.: M2-0063230-3,677743,M200632303
62,L2528850295,WESTGATE - PARADISE DYNASTY,WESTGATE|3 GATEWAY DRIVE,PARADISE DYNASTY|FAX: 6465 9272|GST REG NO. 201010512H,608532,201010512H
61,L2400510224,BEDOK MALL - POPULAR,BEDOK MALL,POPULAR|POPULAR BOOK COMPANY|GST REG MR-8500027-X|URBANWRITE,554360,MR8500027X
60,L0301860523,TAMPINES MALL - CHALLENGER,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|GST NO.: M2-0063230-3,529510,M200632303
6,L2460440250,BEDOK MALL - FAIRPRICE FINEST,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK|467360,FINEST|FAIRPRICE FINEST|UEN NO: S83CS0191L|GST NO :M4-0004578-0,467360,M400045780
59,L05024942465,IMM BUILDING - HAIDILAO HOT POT,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,HAIDILAO,,201201446C
58,L1524330406,THE ATRIUM@ORCHARD - UNIQLO,PLAZA SINGAPURA|68 ORCHARD ROAD,UNIQLO|WWW.UNIQLO.COM|#03-53 TO 62|GST REG NO: 200816544K,238839,200816544K
57,L1600510083,BUKIT PANJANG PLAZA - POPULAR,BUKIT PANJANG|554360,POPULAR|POPULAR BOOK|GST REG MR-8500027-X|URBANWRITE,677743,MR8500027X
56,L1800140120,LOT ONE - WATSONS,LOT 1,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
55,L0502391503,IMM BUILDING - BEST DENKI,IMM BUILDING|2 JURONG EAST STREET 21|S(609601)|IMM,BEST DENKI (S)|TEL:  65644022|GST REG NO.: M2-0053813-7|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,609601,M200538137
54,L2500030308,WESTGATE - GUARDIAN,WESTGATE|3 GATEWAY DRIVE,GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|TEL:6465 9440|BIZ REG NO 38562800E|GST NO MR-8500225-7|WWW.GUARDIAN.COM.SG,608532,MR85002257
53,L2538230316,WESTGATE - SUSHI EXPRESS,WESTGATE|3 GATEWAY DRIVE,SUSHI EXPRESS|TEL:6465 9326|GST REG NO:201025838D,608532,201025838D
52,L0502631509,IMM BUILDING - ICHIBAN SUSHI,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST STREET 21,ICHIBAN SUSHI|FAX: 68963078|CO. REG. NO.: 53273556X,609601,M200833031
50,L5752200377,RAFFLES CITY SINGAPORE - WATSONS,RAFFLES|RAFFLES CITY,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
5,L0260440007,JUNCTION 8 - FAIRPRICE FINEST,JUNCTION 8|9 BISHAN PLACE,FINEST|FAIRPRICE FINEST|62590461,579837,M400045780
49,L1602630211,BUKIT PANJANG PLAZA - ICHIBAN SUSHI,BUKIT PANJANG PLAZA|1 JELEBU ROAD,ICHIBAN SUSHI|TEL: 6760 8135|FAX: 6760 8182|CO. REG. NO.: 198801832Z|GST REG NO: M2-0083303-1|WWW.RES.COM.SG,677743,M200833031
48,L2424330245,BEDOK MALL - UNIQLO,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK|467360,UNIQLO|WWW.UNIQLO.COM|GST REG NO: 200816544K,467360,200816544K
47,L2529760272,WESTGATE - TIM HO WAN,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 608532,TIM HO WAN|GST REG NO: 201301178C,608532,201301178C
46,L25000510564,WESTGATE - POPULAR,WESTGATE,POPULAR|POPULAR BOOK COMPANY|GST REG MR-8500027-X,608532,MR8500027X
45,L2419840003,BEDOK MALL - CANTON PARADISE,BEDOK MALL|311 NEW UPPER CHANGI ROAD|BEDOK|467360,CANTON PARADISE|TEA HOUSE|GST REG NO 201010317-N|FAX: 6844 9243,467360,201010317N
44,L1811490286,LOT ONE - UNITY,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,UNITY|UNITY BY FAIRPRICE|63 7678,689812,M400045780
43,L1600140028,BUKIT PANJANG PLAZA - WATSONS,BUKIT PANJANG PLAZA|1 JELEBU ROAD,WATSONS|WATSONS BUKIT|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
42,L05063792725,IMM BUILDING - NIKEFACTORYSTORE,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,NIKE GLOBAL|(65)6896 2602|NIKEFACTORYSTORE|NIKEFACTORYSTORE|NIKE,609601,M90367331L
41,L04031130691,PLAZA SINGAPURA - MUJI,PLAZA SINGAPURA|68 ORCHARD ROAD,MUJI|MUJI SING|PHONE: +65-6264 5838|FAX: +65-6264 5260,238839,200300025H
40,L0200510204,JUNCTION 8 - POPULAR,JUNCTION 8,POPULAR|POPULAR BOOK|GST REG MR-8500027-X,554360,MR8500027X
4,L1860430425,LOT ONE - FAIRPRICE,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4|689812,NTUC|NTUC FAIRPRICE|665009,689812,M400045780
39,L0302120395,TAMPINES MALL - SWENSEN'S,TAMPINES MALL|5 TAMPINES CENTRAL 5,SWENSEN|SWENSEN'S|COMPANY REG. N 197803023H|TEL: 6781 5489|FAX: 6587 6345|GST NO. M2-0032810-8,,M200328108
38,L2400140054,BEDOK MALL - WATSONS,BEDOK MALL|311 NEW UPPER,WATSONS|BUS REG NO. 198702314R|GST REG: M2-0077257-1|WWW.WATSONS.COM.SG,467360,M200772571
37,L0200140149,JUNCTION 8 - WATSONS,JUNC 8|J8,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,579837,M200772571
36,L1800030443,LOT ONE - GUARDIAN,LOT 1|LOT ONE|21 CHOA CHU KANG AVENUE 4,GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|GST NO MR-8500225-7|WWW.GUARDIAN.COM.SG,689812,MR85002257
35,L2124330311,BUGIS+ - UNIQLO,BUGIS+|2012 VICTORIA STREET|188067,UNIQLO|WWW.UNIQLO.COM|TEL: 6238 7401|GST REG NO: 200816544K,188067,200816544K
34,L0401860509,PLAZA SINGAPURA - CHALLENGER,PLAZA SINGAPURA|68 ORCHARD ROAD,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.: 198400182K|GST NO.:M2-0063230-3|@CHALLENGER,238839,M200632303
33,L0401830465,PLAZA SINGAPURA - DAISO JAPAN,PLAZA SINGAPURA|68 ORCHARD ROAD,DAISO|TEL: 6884-9210|ROC: T02FC6208E|GST REG: F0-0006208N,238839,F00006208N
32,L0600140646,BUGIS JUNCTION - WATSONS,BUGIS JUNCTION,WATSONS|BUS REG NO. 198702314R|GST REG: M2-0077257-1|WWW.WATSONS.COM.SG,,M200772571
31,L0300030016,TAMPINES MALL - GUARDIAN,TAMPINES MALL|4 TAMPINES CENTRAL 5|529538,GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|TEL:6787 0648|GST NO MR-8500225-7|WWW.GUARDIAN.COM.SG,529510,MR85002257
30,L1800510420,LOT ONE - POPULAR,LOT 1|LOT ONE,POPULAR|POPULAR BOOK COMPANY|GST REG MR-8500027-X,689812,MR8500027X
3,L0360430010,TAMPINES MALL - FAIRPRICE,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,NTUC|NTUC FAIRPRICE|861953|GST NO :M4-0004578-0,529510,M400045780
29,L2400030111,BEDOK MALL - GUARDIAN,BEDOK MALL|311 NEW UPPER CHANGI ROAD,GUARDIAN HEALTH & BEAUTY|BIZ REG NO 38562800E|#B2-45/46/47|TEL:6844-9312|GST NO MR-8500225-7|WWW.GUARDIAN.COM.SG,467360,MR85002257
28,L0200030016,JUNCTION 8 - GUARDIAN,JUNCTION 8|9 BISHAN PLACE,GUARDIAN|GUARDIAN HEALTH & BEAUTY|TEL: 6353 7234|WWW.GUARDIAN.COM.SG,579837,MR85002257
27,L0300390165,TAMPINES MALL - DIN TAI FUNG,TAMPINES MALL|4 TAMPINES CENTRAL 5,DIN TAI FUNG|TEL: 6787 0998|CO REG NO. :200303124C|GST REG NO.:20-03-03124C,529510,200303124C
26,L1801860087,LOT ONE - CHALLENGER,LOT 1|LOT ONE|21 CHOA CHU KANG AVE 4,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|GST NO.:M2-0063230-3|@ CHALLENGER,689812,M200632303
25,L0500031744,IMM BUILDING - GUARDIAN,IMM BUILDING|2 JURONG EAST ST 21,GUARDIAN HEALTH & BEAUTY|TEL:6566 7660|BIZ REG NO 38562800E|GST NO MR-8500225-7|WWW.GUARDIAN.COM.SG,609601,MR85002257
23,L1600030133,BUKIT PANJANG PLAZA - GUARDIAN,BUKIT PANJANG PLAZA|1 JELEBU ROAD,GUARDIAN HEALTH & BEAUTY|WWW.GUARDIAN.COM.SG,677743,MR85002257
22,L0200390094,JUNCTION 8 - DIN TAI FUNG,JUNCTION 8|9 BISHAN PLACE,DIN TAI FUNG|TEL: 6356 5228|CO REG NO.:200303124C|GST REG NO.:20-03-03124C,579837,200303124C
218,L0403760405,PLAZA SINGAPURA - XIN WANG HONG KONG CAFE,PLAZA SINGAPURA|68 ORCHARD ROAD,XIN WANG|XIN WANG HONG KONG|#06-08/09/10|TEL:68848698,,200711630D
214,L1613740102,BUKIT PANJANG PLAZA - JACK'S PLACE,BUKIT PANJANG PLAZA|1 JELEBU ROAD,JACK'S PLACE|STEAKHOUSE|TEL:6568928700,677743,M200680600
213,L1800250458,LOT ONE - PET LOVERS CENTRE,LOT ONE|LOT 1|LOT1 BRANCH,PET LOVERS|TEL:188-PETFOOD|WWW.PETLOVERSCENTRE.COM,,53052642E
212,L03026580523,TAMPINES MALL - CHALLENGER MINI,TAMPINES MALL|4 TAMPINES CENTRAL 5,CHALLENGER MINI|CHALLENGER TECHNOLOGIES,529510,M200632303
211,L2400100104,BEDOK MALL - PIZZA HUT,BEDOK MALL|311 NEW UPPER CHANGI ROAD,PIZZA HUT|#B2-05/34|TEL:68449852,467360,M201141095
210,L0004659990,PLAZA SINGAPURA - PLAZA SINGAPURA,PLAZA SINGAPURA|68 ORCHARD ROAD|SINGAPORE 238839,MEAL MUJI|GST 200300025H,238839,200300025H
21,L0300510209,TAMPINES MALL - POPULAR,TAMPINES MALL,POPULAR|POPULAR BOOK COMPANY|GST REG MR-8500027-X,529510,MR8500027X
208,L03072940508,TAMPINES MALL - SUKI-YA AND EAT AT TAIPEI,TAMPINES MALL|4 TAMPINES CENTRAL 5,EAT AT TAIPEI|TEL: 6789 6166|ROB: 53187736A|GST: 199605714E|EMAIL:MAIL@CREATERIES.COM,,199605714E
205,L04000720614,,PLAZA SINGAPURA|68 ORCHARD ROAD,CRYSTAL JADE KITCHEN STEAMBOAT|TEL:63362833,238839,M200940342
204,L24000010421,,BEDOK MALL|311 NEW UPPER CHANGI ROAD,AJISEN RAMEN| GST REG NO. M90370629T|TEL NO. 6844 9373,,M90370629T
203,L2124430321,,BUGIS+|201 VICTORIA STREET|SINGAPORE 188067,COCO ICHIBANYA|TEL: 6341 9978|COMPANY REG. NO. 201009695G|GST REG. NO. 20-1009695-G,188067,201009695G
202,L0528562048,,IMM BUILDING|2 JURONG EAST ST 21|IMM,VGO INTER|WORLD OF SPORTS|TEL:64251035,,201628895E
201,L1529090252,THE ATRIUM@ORCHARD - HOSHINO COFFEE,PLAZA SINGAPURA|68 ORCHARD RD,HOSHINO COFFEE|PHONE: +6563383277|REG NN. :200501519R|GST NO. : 20-0501519-R,238839,200501519R
20,L0300140206,TAMPINES MALL - WATSONS,TAMPINES MALL,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
2,L0501741751,IMM - GIANT,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,GIANT|53234707B|GIANTONLINE,609601,MR85002257
198,L06073690948,,BUGIS JUNCTION|200 VICTORIA STREET|SINGAPORE 188021,KINOKUNIYA BOOKSTORES|GST REG:M2-0052652-0|BUSINESS REG. NO.: 198301413H,188021,M200526520
197,L04062830646,,PLAZA SINGAPURA|68 ORCHARD ROAD,ART FRIEND @ PSG|AFTK PTE|TEL: 63361120|FAX: 63361190|GST/ACRA NO. 200404456E,238839,200404456E
196,L25086970481,,WESTGATE|3 GATEWAY DRIVE|608532,HONOLULU|201531891N,608532,201531891N
195,L0604350229,,BUGIS JUNCTION|60 MIDDLE ROAD,SARIKA|SARIKA CONNOISSEUR|TCC @ BUGIS JUNCTION - ATRIUM,188966,2000004940E
192,L05077742730,,IMM BUILDING|2 JURONG EAST,SKECHERS SING|TEL:68963290,609601,200618576R
191,L22064230492,THE STAR VISTA - YAYOI,THE STAR VISTA|1 VISTA EXCHANGE GREEN,YAYOI|TEL :6570 2668|GST REG NO : 201104609W|YAYOIKEN,138617,201104609W
19,L0501861558,IMM BUILDING - CHALLENGER,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST STREET 21,CHALLENGER|CHALLENGER TECHNOLOGIES|ROC NO.:198400182K|GST NO.: M2-0063230-3|@CHALLENGER,609601,M200632303
189,L25024430431,,WESTGATE|3 GATEWAY DRIVESINGAPORE 608532,COCO ICHIBANYA|TEL/FAX: 6710 7062 / 6710 7063|COMPANY REG. NO. 201009695G|GST REG. NO. 20-1009595-G,608532,201009695G
188,L2402390223,,BEDOK MALL|311 NEW UPPER CHANGI ROAD,BEST DENKI|BEST DENKI (S)|#B1-01/43/44|GST REG NO.: M2-0053813-7|RCB NO. 198202199E|WWW.BESTDENKI.COM.SG,467360,M200538137
185,L0400490285,,PLAZA SINGAPURA,GOLDEN VILLAGE|GV TAMP,238839,M200915038
183,L0609960159,,BUGIS JUNCTION|200 VICTORIA ST,MA MAISON|GST REG NO: M2-8920605 - 1|TEL: 6338 4819|FAX: 6338 4319,188021,M289206051
182,CALT01,,355 EAST COAST ROAD,CALTEX|CALTEX EAST COAST|TEL: 6342 2378|FAX: 6342 2381|TAX ID: MR-8500235-4|MERCHANT ID: 1049442320,428972,MR85002354
180,L1616870087,,BUKIT PANJANG PLAZA|1 JELEBU ROAD|SINGAPORE 677743,STREATS CF|GST REGNO: M2892220330|WWW.STREATS CF.COM.SG|TEL: 6767 4745|FAX: 6767 4769,677743,M2892220330
18,L09060440379,JCUBE - FAIRPRICE FINEST,JCUBE|JCUBE MALL|2 JURONG EAST CENTRAL 1,FINEST|FAIRPRICE FINEST|TEL: 62624180 / 62624183|UEN NO: S83CS0191L|GST NO :M4-0004578-0,609731,M400045780
179,L0528152023,,IMM BUILDING,RSH SING|AT RSH|CO.REG 199409417M|GST REG NO 19-9409417-M|TEL NO: 6567 9308,,199409417M
178,L05085902037,,IMM BUILDING|IMM,DEASSIKSIN|GST REG NO : 200810220Z|TEL: 6264 9650,,200810220Z
177,L24030030491,,BEDOK MALL|311 NEW UPPER CHANGI ROAD,SEOUL GARDEN|TEL:65841339,467360,M90001079Y
176,L2526690345,WESTGATE - PAPPARICH,WESTGATE|3 GATEWAY DRIVE,PAPPARICH|TEL:6358 2232|GST REG NO. 201205313C,608532,201205313C
175,L18087290017,,LOT ONE|21 CHAO CHU KANG AVE 4,CHATERAISE|TEL:6769 0676|GST REG NO: 201130958D,689812,21130958D
172,L57136370615, RAFFLES CITY SINGAPORE - COMNAM - VIETNAMESE STREET EATS / NAMNAM NOODLE,RAFFLES CITY|252 NORTH BRIDGE ROAD,NAM NAM|COMNAM|COMNAM-VIETNAMESE STREET EATS|WWW.NAMNAMNOODLEBAR.COM.SG|TEL:63347377,179103,201116280N
170,L25086760741,,WESTGATE|3 GATEWAY DR,MASIZZIM@WEST GATE|GST REG NO:201431188M,608532,201431188M
17,L0501831860,IMM BUILDING - DAISO JAPAN,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL|2 JURONG EAST STREET 21,DAISO|TEL:6566-9585|ROC: T02FC6208E|GST REG: F0-006208N,609601,F00006208N
169,L02028430093,JUNCTION 8 - SEOULYUMMY KOREAN CASUAL DINING,JUNCTION 8|9 BISHAN PLACE,SEOUL YUMMY|SEOUL YUMMY (J8)|SUBSIDIARY OF GRATIFY GROUP|GST NO. 201613400K|TEL: 6570 2033|WWW.SEOULYUMMY.COM,579837,201613400K
168,L0900140056,,JCUBE,WATSONS|GST REG : M2-0077257-1|BUS REG NO. 198702314R|WWW.WATSONS.COM.SG,,M200772571
165,L0314320263,,TAMPINES MALL|4 TAMPINES CTRL 5,EXPRESS TEPPAN-YAKI|GST REG NO. 199501289G,529510,199501289G
163,L0201190017,,JUNCTION 8|NO.9 BISHAN PLACE|SINGAPORE 579837,HOCKHUA TONIC|TEL: 62501160|CO. REG. NO. : 53040022K|GST REG. NO. : 20-0407924-G,579837,200407924G
161,L0920510061,"JCUBE - ITACHO SUSHI, JIKA UDON",JCUBE|2 JURONG EAST CENTRAL 1|SINGAPORE 609731,ITACHO SUSHI|JIKA UDON|TEL: 6684 4083|#02-14 2 JUR,609731,
160,L0502892032,,IMM BUILDING|2 JURONG EAST ST 21|IMM|609601,AJISEN RAMEN|GST REG: M90370629T|TEL: 6564 5610|AJISEN RAMEN,609601,M90370629T
16,L2213460264,THE STAR VISTA - COLD STORAGE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,CS STAR::CS|COLD STORAGE|#B1-02/35/36,13861,MR85002257
157,L25081990591,,WESTGATE|3 GATEWAY DRIVE,SHABU SAI WG|TEL 6908 5686|201104341W,,
156,L03062250560,TAMPINES MALL - OLD STREET BAK KUT TEH . YOU TIAO . SOYA MILK,TAMPINES MALL|4 TAMPINES CENTRAL 5,OLD STREET BAK KU THE (TM)|GST REG NO: 201502254K,529510,201502254K
154,L0516871284,,IMM BUILDING|2 JURONG EAST ST 21|IMM|609601,STREATS CF|GST REGNO: M2892220330|TEL: 65646471|WWW.STREATS.COM.SG,609601,M2892220330
150,L2538470315,WESTGATE - OLD STREET BAK KUT TEH,WESTGATE|3 GATEWAY DRIVE|SINGAPORE 068532,OLD STREET BAK KU THE|TEL: 67591082|35494K,608532,201303398H
15,L1808690119,LOT ONE - BHG,LOT 1|LOT ONE|21 CHOA CHU KANG,WWW.BHGSINGAPORE.COM.SG|AT BHG|TEL NO : 65-67660880,,M201190924
149,L1600100155,BUKIT PANJANG PLAZA - PIZZA HUT,BUKIT PANJANG PLAZA|1 JELEBU ROAD,PIZZA HUT|TEL: 6892 1266|GST REG NO:M2-0114109-5|WWW.PIZZAHUTGUESTSURVEY.COM.SG,677743,M201141095
148,L24084060349,BEDOK MALL - HOT TOMATO,BEDOK MALL|311 NEW UPPER CHANGI ROAD,HOT TOMATO|D' COFFEESHOP|GST REG NO : 20051638N,467360,200516387N
146,L0617660469,BUGIS JUNCTION - ITACHO SUSHI,BUGIS JUNCTION|200 VICTORIA STREET|SINGAPORE 188021,ITACHO SUSHI|ITACHO|TEL: 63378911,188021,200906024W
