Gank,New LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
430,L2226780239,THE STAR VISTA - ROCK GIFTS AND BOOK CENTRE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,ROCK GIFTS AND BOOK|TEL NO: 66943007|WWW.ROCKONLINE.SG,138617,199804091-D
402,L0528532045,IMM BUILDING - TIMBERLAND OUTLET,IMM BUILDING|IMM,TIMBERLAND OUTLET|TEL:6569-6027,609601,199804569E
495,L0501770083,IMM BUILDING - ZTP,IMM BUILDING|2 JURONG EAST,ZTP GINSENG|ZTP GINSENG BIRDNEST|TEL: 6560 1215,609601,199804873R
444,L16064340095,BUKIT PANJANG PLAZA - SORELLA,BUKIT PANJANG PLAZA|BT PANJANG ATRIUM,SORELLA BT,,199805501W
496,L05077162373,IMM BUILDING - SORELLA OUTLET,IMM BUILDING|JURONG EAST ST 21,SORELLA|TEL: 65650586,609601,199805501W
167,L04064340515,PLAZA SINGAPURA - SORELLA,PLAZA SINGAPURA|68 ORCHARD ROAD,SORELLA|TEL: 62648984,238839,199805501-W
481,L2226770252,THE STAR VISTA - AWFULLY CHOCOLATE,THE STAR VISTA|1 VISTA EXCHANGE GREEN,AWFULLY CHOCOLATE,,199805627D
170,L57250073207,Raffles City Singapore - Awfully Chocolate,RAFFLES CITY,Awfully Chocolate,179103,199805627D
403,L25067790604,WESTGATE - MA KUANG TCM MEDICAL CENTRE,WESTGATE|3 GATEWAY DRIVE,MA KUANG TCM MEDICAL|WEBSITE:WWW.MAKUANG.COM.SG|HOTLINE: 1800-336-5855,608532,199901693G
542,L0201270394,JUNCTION 8 - CRABTREE & EVELYN,JUNCTION 8,CRABTREE & EVELYN|62593978,579837,199901745Z
149,L0301270359,Tampines Mall - Crabtree & Evelyn,Tampines Mall|4 Tampines Central Road,CRABTREE & EVELYN|#01-K4 Tamp|6786 4127,529510,19-9901745-Z
177,L0601270042,Bugis Junction - Crabtree & Evelyn,Bugis Junction|200 Victoria Street,CRABTREE & EVELYN|#01-14 Bugis|63364719,188021,19-9901745-Z
89,L57250363170,Raffles City Singapore - Crabtree & Evelyn, Raffles City|252 North Bridge Road,CRABTREE & EVELYN|B1-29A Raffle,179103,19-9901745-Z
,L16021290281,BUKIT PANJANG PLAZA - SUKI-YA,BUKIT PANJANG PLAZA|1 JELEBU ROAD,SUKI-YA|SUKI-YA HOLDINGS|TEL658815,,199906748n
307,L1521290526,,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,SUKI-YA HOLDINGS|#04-63/67|TEL:68845423,238839,199906748N
86,L2520990307,Westgate - SELFFIX DIY,West Gate|3 Gateway Drive,SELFFIX HOME & DRY|TEL: 6465 9030|FAX 6465 9031,608532,200000236K
195,L0604350229,,BUGIS JUNCTION|60 MIDDLE ROAD,SARIKA|SARIKA CONNOISSEUR|TCC @ BUGIS JUNCTION - ATRIUM,188966,2000004940E
98,L03063160552,TAMPINES MALL - PUTIEN,TAMPINES MALL,PU TIEN|TEL : 6781 2162|FAX : 6781 2163| : 200001660-W,529510,200001660W
,L57250713073,,RAFFLES CITY|252 NORTH BRIDGE ROAD,PU TIEN|6336 2184,179103,200001660W
41,LSPC900041,SingPost Centre - Pu Tien,#3-106 Singapore Post,PU TIEN|Tel : 6747 4355|Fax : 6747 4351,408600,200001660-W
26,L2411890080,Bedok Mall - Cheers,311 New Upper Changi Road|BEDOK MALL,CHEERS STORE|TEL: 6844-9283,467360,20-0002019-C
536,L5751670613,RAFFLES CITY SINGAPORE - THAI EXPRESS BISTRO,RAFFLES CITY|252 NORTH BRIDGE ROAD,THAIEXPRESS|FAX/TEL: 6883 1490,179103,200002490D
97,L25000723188,WESTGATE - CJ KITCHEN,WESTGATE|3 GATEWAY DRIVE,CRYSTAL JADE KITCHEN (WG)|TEL NO: 64659822|FAX: 64659833,608532,200002726D
528,L2403840005,BEDOK MALL - BREADTALK / TOAST BOX,BEDOK MALL|311 NEW UPPER CHANGI ROAD,BREADTALK|WWW.BREADTALKREWARDS.COM,467360,200003528M
151,L03003840065,Tampines Mall - BreadTalk / TOAST BOX,4 Tampiness Central|ampiness Mall,BreadTalk|Tel : 6443 4644|www.breadtalkrewards.com,529510,20-0003528-M
,L2531440098,WESTGATE - ROYCE',WESTGATE|3 GATEWAY DRIVE,ROYCE|ROYCE CONFECT INTER|WWW.ROYCE.COM.SG,608532,200005529r
509,L03031440353,TAMPINES MALL - ROYCE',TAMPINES MALL,ROYCE CONFECT INTER|TEL: 6538 3024,529510,200005529R
556,L57250743174,RAFFLES CITY SINGAPORE - ROYCE',RAFFLES CITY|SINGAPORE 179103,ROYCE|ROYCE CONFECT|TEL: 6336 4811,179103,200005529R
492,L18073730009,LOT ONE - HOME-FIX,LOT ONE|LOT 1|21 CHOA CHU KANG AVE 4,HOME-FIX D.I.Y|TEL: 6765 1823,689812,200006780Z
597,L24073730282,BEDOK MALL - HOME-FIX,BEDOK MALL|311 NEW UPPER CHANGI ROAD,HOME-FIX D.I.Y,467360,200006780Z
456,L0304720468,TAMPINES MALL - NUBOX,TAMPINES MALL|4 TAMPINES CENTRAL 5,NUBOX|NEWSTEAD TECHNOLOGIES|TEL:6587 7130,529510,200100468D
238,L1800280485,LOT ONE - GNC LIVE WELL,LOT ONE|LOT 1,GNC LIVE WELL|ONI GLOBAL|OSIM INTER,,200106977R
239,L0200280025,JUNCTION 8 - GNC LIVE WELL,JUNCTION 8,GNC LIVE WELL|ONI GLOBAL|OSIM INTER,,200106977R
391,L57250653195,RAFFLES CITY SINGAPORE - GNC LIVE WELL,RAFFLES CITY,GNC LIVE WELL|ONI GLOBAL|OSIM INTER,,200106977R
280,L0300280005,TAMPINES MALL - GNC LIVE WELL,TAMPINES MALL,GNC LIVE WELL|6781 8360|ONI GLOBAL|OSIM INTERNATIONAL,,200106977R
337,L0429870005,PLAZA SINGAPURA - GNC,PLAZA SINGAPURA,GNC LIVE WELL|6837 0508|ONI GLOBAL|OSIM INETR,,200106977R
393,L1600280008,BUKIT PANJANG PLAZA - GNC LIVE WELL,BUKIT PANJANG,GNC LIVE WELL|6769 6795|ONI GLOBAL|OSIM INETRNATIONAL,,200106977R
173,L0600280593,Bugis Junction - GNC LIVE WELL,BUGIS JUNCTION,PORE 6337 1230::1230,,200106977R
113,L03060970611,TAMPINES MALL - INNISFREE,TAMPINES MALL|4 TAMPINES CENTRAL 5|SINGAPORE 529510,INNISFREE|NATURAL BENEFITS FROM JEJU|IF SG TAMPINES|#01-35/36/37|TEL NO: 6443 9608,529510,200107846H
,L0660970843, BUGIS JUNCTION - INNISFRE,BUGIS JUNCTION|200 VICTORIA ST,INNISFREE|NATURAL BENEFITS FROM JEJU|TEL NO: 6238 0129,188021,200107846H
,L24060970395,,BEDOK|BEDOK MALL|311 NEW UPPER CHANGI ROAD,INNISFREE|NATURAL BENEFITS FROM JELU|TEL NO: 6385 9400|WWW.FACEBOOK.COM/INNISFREESINGAPORE,467360,200107846H
255,L1560970557,THE ATRIUM@ORCHARD - INNISFREE,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,INNISFREE|NATURAL BENEFITS FROM JELU|#01-63/64|TEL:63363179,238839,200107846H
361,L03022860354,TAMPINES MALL - LANEIGE,TAMPINES MALL|4 TAMPINES CENTRAL 5,LANEIGE|TEL: 67836269,529510,200107846H
394,L1522860467,THE ATRIUM@ORCHARD - LANEIGE,PLAZA SINGAPURA|THE ATRIUM@ORCHARD|68 ORCHARD ROAD,LANEIGE,238839,200107846H
548,L0213800100,JUNCTION 8 - ETUDE HOUSE,JUNCTION 8,EH SG|ETUDE HOUSE|8806199444388|TEL:62557470|WWW.ETUDE.SG,188021,200107846H
408,L25022860744,WESTGATE - LANEIGE,WESTGATE|3 GATEWAY DRIVE,LNG-WEST|LANEIGE|TEL: 6252 2434,608532,200107846H
582,L0613800501,BUGIS JUNCTION - ETUDE HOUSE,BUGIS JUNCTION|200 VICTORIA STREET,EH SG|ETUDE HOUSE|TEL:62557470|WWW.ETUDE.COM|ETUDE.SING,188021,200107846H
19,L02060973022,Junction 8 - innisfree,SG JUNCTION 8|9 Bishan Place,innisfree|#01-23/24|Tel No: 6251 4708|www.facebook.com/innisfreesingapore,579837,200107846H
221,L1800090479,LOT ONE - PASTAMANIA,LOT ONE|21 CHOA CHU KANG AVE 4,PASTAMANIA|TEL: 6765 2213|FAX: 6765 2308|WWW.PASTAMANIA.COM.SG,689812,200108110Z
292,L0300090149,TAMPINES MALL - PASTAMANIA,TAMPINES MALL|4 TAMPINES CENTRAL 5,PASTAMANIA|TEL: 6784 1625|FAX: 6784 3126|WWW.PASTAMANIA.COM.SG,529510,200108110Z
356,L0200090090,JUNCTION 8 - PASTAMANIA,JUNCTION 8|9 BISHAN PLACE|BISHAN,PASTAMANIA|TEL:6339 6635|FAX: 6339 0608,188021,200108110Z
67,L0600090463,Bugis Junction - PASTAMANIA,200 Victoria Street|Bugis Junction,PastaMania|Street #B1-08|Tel: 6339 6635|Fax: 6339 0608|www.pastamania.com.sg,188021,20-0108110-Z
48,L25089893110,Westgate - Spageddies Italian Kitchen,3 GATEWAY DRIVE #03-07|WESTGATE,TEL: 62648236/62648237/FAX: 6264 8262|Email:spageddies.com.sg,608532,200200461K
116,L21076220524,Bugis+ - MANEKINEKO,201 Victoria Street|Bugis+,Manekineko|Tel:62433113,,200200623K
,L0601470122,,200 VICTORIA STREET|BUGIS JUNCTION,PAZZION|PHONE 6333 9970| NUMBER 200200886H|FABULOUSLY,,200200886H
513,L04082330179,PLAZA SINGAPURA - LEGO CERTIFIED STORE (BRICKS WORLD),PLAZA SINGAPURA|68 ORCHARD ROAD,BRIX STA|BRICKS WORLD|PHONE: 62388252|FAX: 62388252,238839,200201189R
140,L1811580440,LOT ONE - DIAN XIAO ER,PORE 689812|LOT 1::1|LOT ONE|21 CHOA CHU KANG,#B1-32/33 Lot|DIAN XIAO ER|TEL: 6766 1776,689812,200207476M
110,L02011580416,JUNCTION 8 - DIAN XIAO ER,JUNCTION 8|9 BISHAN PLACE,DIAN XIAO ER|TEL: 6684 0877,579837,200207476M
,L2411580028,BEDOK MALL - DIAN XIAO ER,BEDOK MALL|311 NEW UPPER CHANGI ROAD,DIAN XIAO ER,467360,200207476M
,L0315160184,,TAMPINES MALL|4 TAMPINES CENTRAL 5,NANDO'S|TEL: 65-67895052|FAX:65-67895591|PERI-PERI@NANDOS,529510,200208738D
301,L1815160525,,LOT ONE|LOT 1|21 CHOA CHU KANG AVENUE 4,NANDO'S|UNIT #01-06|TEL:62199920|FAX:62199972|E-MAIL:PERI-PERI@NANDOS.COM.SG,689812,200208738D
372,L0415160513,PLAZA SINGAPURA - NANDO'S,PLAZA SINGAPURA|68 ORCHARD ROAD,NANDO'S|NANDO'S PLAZA SG|TEL: 02-63372555|FAX:02-63373282|EMAIL: PERI-PERI@NANDOS.COM.SG,238839,200208738D
374,L2215160147,THE STAR VISTA - NANDO'S,THE STAR VISTA|1 VISTA EXCHANGE GREEN,NANDO'S|UNIT #B1-09|FAX:6694 1874|EMAIL: PERI-PERI@NANDOS.COM.SG,138617,200208738D
442,L02015160324,JUNCTION 8 - NANDO'S,JUNCTION 8|9 BISHAN PLACE,NANDO|NANDO'S CHICKENLAND SING|TEL:63975889|EMAIL: PERI-PERI@NANDOS.COM.SG,579837,200208738D
134,L0615160648,Bugis Junction - Nando's,Bugis Junction|200, Victoria Street NANDO\s|#01-85/87|Tel: 02-6338 6555|Fax:02-6336 1189|E-mail: peri-peri@nandos.com.sg|www.howwasit4you-sg.net,188021,200208738D
92,L57250123077,RAFFLES CITY SINGAPORE - MUJI,RAFFLES CITY|252 NORTH BRIDGE ROAD|SINGAPORE 179103,MUJI|MUJI SING|#02-20/22|PHONE +65-6264 5838|FAX: +65-6264 5260,179103,200300025H
41,L04031130691,PLAZA SINGAPURA - MUJI,PLAZA SINGAPURA|68 ORCHARD ROAD,MUJI|MUJI SING|PHONE: +65-6264 5838|FAX: +65-6264 5260,238839,200300025H
187,L0631130797,BUGIS JUNCTION - MUJI,BUGIS JUNCTION|200 VICTORIA STREET,MUJI SING|PHONE: +65-6336 7885|FAX: +65-6336 7285,188021,200300025H
450,L09069430376,JCUBE - BRITISH ESSENTIAL,JCUBE|2 JURONG EAST CENTRAL 1,BRITISH ESSENTIAL|PHONE : 65693286|FAX : 65693358,609731,200300430E
69,L2400390013,BEDOK MALL - DIN TAI FUNG,BEDOK MALL|11 NEW UPPER CHANGI ROAD,DIN TAIFUNG|TEL:68449489,467360,200303124C
27,L0300390165,TAMPINES MALL - DIN TAI FUNG,TAMPINES MALL|4 TAMPINES CENTRAL 5,DIN TAI FUNG|TEL: 6787 0998,529510,200303124C
22,L0200390094,JUNCTION 8 - DIN TAI FUNG,JUNCTION 8|9 BISHAN PLACE,DIN TAI FUNG|TEL: 6356 5228,579837,200303124C
304,L5753800387,,RAFFLES CITY,BUFFET TOWN|#B1-44E|TEL:68373793,,2003043395G
378,L57250233223,RAFFLES CITY SINGAPORE - POULET,RAFFLES CITY|252 NORTH BRIDGE ROAD,POULET|#B1-65/66|TEL: 6336-3119|FAX: 6336-1176,179103,200304429R
128,L1801190019,LOT ONE - HOCKHUA TONIC,LOT 1|LOT ONE|21 CHOA CHU KANG AVENUE 4|SINGAPORE 689812,HOCKHUA TONIC|TEL: 67678630|CO. REG. NO. : 53026826D,689812,200309446K
102,L1601190198,BUKIT PANJANG PLAZA - HOCKHUA TONIC,BUKIT PANJANG PLAZA|1 JELEBU ROAD,HOCKHUA TONIC|TEL: 68922551|CO. REG. NO. : 53004359M,677743,200309446K
349,L2128430428,BUGIS+ - SEOULYUMMY KOREAN CASUAL DINING,BUGIS+|201 VICTORIA STREET,SEOUL YUMMY|GRATIFY GROUP PTE LTD|WWW.SEOULJUMMY.COM|TEL:6509 6900,188067,200401969N
197,L04062830646,,PLAZA SINGAPURA|68 ORCHARD ROAD,ART FRIEND @ PSG|AFTK PTE|TEL: 63361120|FAX: 63361190,238839,200404456E
163,L0201190017,,JUNCTION 8|NO.9 BISHAN PLACE|SINGAPORE 579837,HOCKHUA TONIC|TEL: 62501160|CO. REG. NO. : 53040022K,579837,200407924G
563,L22087000438,THE STAR VISTA - GYU-KAKU JAPANESE BBQ,THE STAR VISTA|1 VISTA EXCHANGE GREEN,GYU-KAKU|TEL: 6735-4001,138617,200408426M
,L2405720096,,NEW UPPER CHANGI|BEDOK MALL,PEPPER LUNCH|TEL 6844-9384|#01-05/06/07/08,,200408968W
268,L02089763198,JUNCTION 8 - THEFACESHOP,BUGIS JUNCTION,TFS|THEFACESHOP|TEL:63340797,188021,200411534C
512,L1631650255,BUKIT PANJANG PLAZA - THEFACESHOP,BUKIT PANJANG PLAZA|1 JELEBU ROAD,TFS|TEL:6465 8470,677743,200411534C
22,L0218770334,Junction 8 - Ambush,9 BISHAN PLACE|JUNCTION 8,AMBUSH|#02-19/20/27|TEL: 6353 3960,579837,200412874M
61,L05076162681,IMM Building - AKEMI Outlet,2 Jurong East St21,Akemi Uchi|St 21 #02-20|Tel No.:68961673,608022,200413885M
135,L0231990303,JUNCTION 8 - VENUS BEAUTY,JUNCTION 8|9 BISHAN PLACE|SINGAPORE 579837,VENUS BEAUTY|VENUSBEAUTY.SG,579837,200414121G
9,L57250943232,Raffles City Singapore - PS. CAFE,RAFFLES CITY|252 North Bridge Road,PSGourmet|#03-37 S179103,179103,200416445M
107,L0301190407,TAMPINES MALL - HOCKHUA TONIC,TAMPINES MALL|4 TAMPINES CENTRAL 5,HOCKHUA TONIC|TEL: 67837768|CO. REG. NO.: 53043905X,529510,200416653M
,L2401190029,,BEDOK MALL|311 NEW UPPER,HOCKHUA TONIC|53248626W,467360,200416653m
160,LSPC900007,SingPost Centre - Hockhua Tonic,10 EUNOS ROAD|SINGAPORE POST CENTRE,HOCKHUA TONIC|#B1-123 SINGAPORE|TEL: 67473458|53369946X,408600,20-0416653-M
201,L1529090252,THE ATRIUM@ORCHARD - HOSHINO COFFEE,PLAZA SINGAPURA|68 ORCHARD RD,HOSHINO COFFEE|PHONE: +6563383277|REG NN. :200501519R,238839,200501519R
410,L2226720236,THE STAR VISTA - YOUMENYA GOEMON,THE STAR VISTA|1 VISTA EXCHANGE GREEN,YOUMENYA GOEMON|PHONE/FAX: 6694 3570|1519-R,138617,200501519R
335,L0203020184,,JUNCTION 8|9 BISHAN PLACE,MFM|THE MANHATTAN FISH MARKET|TEL/FAX:63524034,579837,200502699H
389,L0403020255,PLAZA SINGAPURA - THE MANHATTAN FISH MARKET,PLAZA SINGAPURA|68 ORCHARD ROAD,MFM|THE MANHATTAN FISH MARKET|TEL/FAX: 6835 9300,238839,200502699H
478,L2203020151,THE STAR VISTA - THE MANHATTAN FISH MARKET,THE STAR VISTA|1 VISTA EXCHANGE GREEN,THE MANHATTAN FISH MARKET|TEL: +65 6694 3548|FAX:+65 6694 3549,138617,200502699H
397,L0903020120,JCUBE - THE MANHATTAN FISH MARKET,JCUBE|2 JURONG EAST CENTRAL 1,THE MANHATTAN FISH MARKET|TEL:+65 6684 4208|FAX:+65 6684 4209|EVENTS@MANHATTANFISHMARKET.COM,609731,200502699H
32,L06076840228,Bugis Junction - Platypus Kitchen,(Bugis Junction)|200 Victoria Street,Platypus Kitchen|+6563334434|www.platypuskitchen.com,188021,200502851Z
540,L05080802760,IMM BUILDING - H OUTLET,IMM BUILDING|2 JURONG EAST,OUTLET 360|TEL: 65634071,609601,200511297K
357,L0529642116,IMM BUILDING - G2000 OUTLET,IMM BUILDING|2 JURONG EAST|IMM|609601,G2000|G2000 OUTLET|G2000 APPAREL|PHONE NO.: 6425 1416| NUMBER: M200971221|COMPANY REG NUMBER: 199006125R,609601,200511297K
,L05065192467,,IMM|2 JURONG EAST|609601,PEDRO|WWW.PEDROSHOES.COM|AT PEDRO|PEDRO APP|PHONE NO: +(65) 6563 9019,609601,200512535M
543,L16067980331,BUKIT PANJANG PLAZA - VALU$,BUKIT PANJANG PLAZA|1 JELEBU ROAD,DD PTE LTD,,200513660G
567,L09067980376,JCUBE - VALU$,JCUBE|2 JURONG EAST CENTRAL 1,DD PTE LTD,,200513660G
148,L24084060349,BEDOK MALL - HOT TOMATO,BEDOK MALL|311 NEW UPPER CHANGI ROAD,HOT TOMATO|D' COFFEESHOP,467360,200516387N
140,L03029530110,Tampines Mall - Namh.com,Tampines Mall,Mall #03-12|Tel : 62606010,,200606295R
,L1817690494,,LOT ONE,MOF @::MOF|TEL:64660312,,200606534M
237,L0617690364,Bugis Junction - MOF @ My Izakaya,BUGIS JUNCTION,MOF @ BUG|GST NO:20-0606534-M TEL.63386466,,200606534M
38,L16085110418,Bukit Panjang Plaza - JU HAO,BUKIT PANJANG,JU HAO XIAO LONG BAO|Tel:6769 7978,,200606534-M
,L0662480829,,200 VICTORIA STREET|BUGIS JUNCTION,DOLCE TOKYO|TEL: 6336 4808,188021,200606534W
147,L2538320139,Westgate - VITAKIDS,Westgate,VITAKIDS|E-mail: westgate@vitakids.biz|Phone: 6584659318,608532,200607414H
425,L2526750121,WESTGATE - BROTZEIT  GERMAN BIER BAR & RESTAURANT,WESTGATE|3 GATEWAY DRIVE,BROTZEIT|TEL: 64659874|FAX: 64659873,608532,200609823C
73,L0501961769,IMM BUILDING - WAN CHAI HK TEA ROOM,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG|2 JURONG EAST|IMM|609601,WANCHAI|WANCHAI HONG KONG TEA ROOM,609601,200610274Z
37,L2123470329,Bugis+ - PULL BEAR,Bugis+|190 MacPherson Road,PULL&BEAR|Tel : 6884 4347|#02-00 Wisma Gulab,348548,20-0611021-K
139,L5751050137,Raffles City Singapore - The Reflexology Company,252 North Bridge Road|Raffle City,THE REFLEXOLOGY COMPANY|#03-12 Raffle|Tel: 6337 7947,179103,200611596G
