Rank,CRM LocationCode,CRM Location Name,Text to identify Mall,Text to identify Merchant,ZipCode to identify Mall,GST to identify Merchant
,L5750400366,,RAFFLES CITY|2 STAMFORD ROAD,cedele|Tel: 63344828 Fax: 63344335|cedelegroup,178882,199702636m
,L57112470669,,RAFFLES CITY|NORTH BRIDGE,PU TIEN,179103,200001660W
,L2531440098,,3 GATEWAY DRIVE|WESTGATE,ROYCE'|ROYCE Confect|confect interna,608532,200005529r
,L0660970843,,BUGIS JUNCTION,INNISFREE,188021,200107846H
,L24060970395,,BEDOK|BEDOK MALL|311 NEW UPPER,INNISFREE,467360,200107846H
,L04089760108,,PLAZA SINGAPURA|68 ORCHARD ROAD,nature collection|68370460,238839,200411534c
,L04031990012,,PLAZA SINGAPURA|68 ORCHARD ROAD,VENUS BEAUTY|venusbeauty.sg,238839,200414121G
,L2401190029,,BEDOK MALL|311 NEW UPPER,hockhua tonic|53248626w,467360,200416653m
,L0201960284,,JUNCTION 8|9 BISHAN PLACE,WANCHAI,579837,200610274Z
,L0701960180,,SEMBAWANG,WANCHAI,758459,200610274Z
,L1801960154,,LOT 1|LOT ONE|21 CHOA CHU KANG,WANCHAI,689812,200610274Z
,L24023300483,,BEDOK MALL|311 NEW UPPER,A-ONE|CLAYPOT HOUSE,467360,200813285Z
,L22071100573,,STAR VISTA|1 VISTA EXCHANGE GREEN,saizeriya,138617,200818603R
,L2217500249,,STAR VISTA|1 VISTA EXCHANGE GREEN,WATAMI,138617,200821208R
,L5753080091,,RAFFLES CITY,WATAMI,179103,200821208R
,L0528822077,,JURONG EAST STREET,Sacoor|delta retail,609601,201114985w
,L02023220178,,JUNCTION 8|9 BISHAN PLACE,JAPAN HOME,579837,201127632E
,L09023220373,,JCUBE|JCUBE MALL,JAPAN HOME,609731,201127632E
,L16023220340,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,JAPAN HOME,677743,201127632E
,L1823220294,,LOT 1|LOT ONE|21 CHOA CHU KANG,JAPAN HOME,689812,201127632E
,L22023220347,,STAR VISTA|1 VISTA EXCHANGE GREEN,JAPAN HOME,138617,201127632E
,L2423220152,,BEDOK|BEDOK MALL|311 NEW UPPER,JAPAN HOME,467360,201127632E
,L25023220452,,WESTGATE|3 GATEWAY DRIVE,JAPAN HOME,608532,201127632E
,L57128370091,,RAFFLES CITY|NORTH BRIDGE,riverside grilled fish,179103,201220758z
,L04076600310,,PLAZA SINGAPURA|68 ORCHARD ROAD,miniso|miniso.com|miniso sg pte|4509757405329,,201534263z
,L24076600279,,BEDOK MALL|311 NEW UPPER,miniso|miniso.com|miniso sg pte|4509757405329,,201534263z
,L0300250420,,TAMPINES MALL|TAMPINES CENTRAL,pet lovers centre|petloverscentre|1800-PETFOOD,,52969972M
,L1601930060,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,bata.com|with bata|phone # 67658592,,m200000374
,L2401930021,,BEDOK MALL|311 NEW UPPER,feedback.bata.com.sg|with bata,,m200000374
,L0200770026,,JUNCTION 8|9 BISHAN PLACE,euyansang|eu yan sang,579837,M200024621
,L0300770015,,TAMPINES MALL|TAMPINES CENTRAL,euyansang|eu yan sang,529510,M200024621
,L0400770524,,PLAZA SINGAPURA|68 ORCHARD ROAD,euyansang|eu yan sang,238839,M200024621
,L0500770085,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,euyansang|eu yan sang,609601,M200024621
,L0600770460,,BUGIS JUNCTION,euyansang|eu yan sang,188021,M200024621
,L0700770177,,SEMBAWANG,euyansang|eu yan sang,758459,M200024621
,L0900770082,,JCUBE|JCUBE MALL,euyansang|eu yan sang,609731,M200024621
,L1800770233,,LOT 1|LOT ONE|21 CHOA CHU KANG,euyansang|eu yan sang,689812,M200024621
,L2400770004,,BEDOK|BEDOK MALL|311 NEW UPPER,euyansang|eu yan sang,467360,M200024621
,L5750650373,,RAFFLES CITY,euyansang|eu yan sang,179103,M200024621
,L1600770144,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,euyansang|eu yan sang|(65)67674491|(65)67674493,677743,M200024621
,L0500251903,,IMM BUILDING|IMM MALL|IMM BRANCH|IMM BLDG,pet lovers centre|1800-PETFOOD|petloverscentre,,m200325419
,L0602120090,,BUGIS JUNCTION,SWENSEN|SWENSEN'S|197803023h,188021,M200328108
,L02023630116,,JUNCTION 8|9 BISHAN PLACE,HUSH PUPPIES,579837,M200657772
,L0323630431,,TAMPINES,HUSH PUPPIES,529510,M200657772
,L04023630658,,PLAZA SINGAPURA|68 ORCHARD ROAD,HUSH PUPPIES,238839,M200657772
,L0723630284,,SEMBAWANG,HUSH PUPPIES,758459,M200657772
,L1623630072,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,HUSH PUPPIES,677743,M200657772
,L2223630199,,STAR VISTA|1 VISTA EXCHANGE GREEN,HUSH PUPPIES,138617,M200657772
,L2423630204,,BEDOK|BEDOK MALL|311 NEW UPPER,HUSH PUPPIES,467360,M200657772
,L2523630394,,WESTGATE|3 GATEWAY DRIVE,HUSH PUPPIES,608532,M200657772
,L0200450294,,JUNCTION 8|9 BISHAN PLACE,bossini|bossini enterprises,579837,m200747887
,L0300450051,,TAMPINES,bossini|bossini enterprises,529510,m200747887
,L0400450133,,PLAZA SINGAPURA|68 ORCHARD ROAD,bossini|bossini enterprises,238839,m200747887
,L0500450078,,IMM BLDG|IMM BRANCH|IMM BUILDING|IMM MALL,bossini|bossini enterprises,609601,m200747887
,L0600450553,,BUGIS JUNCTION,bossini|bossini enterprises,188021,m200747887
,L0700450291,,SEMBAWANG,bossini|bossini enterprises,758459,m200747887
,L1600450251,,BUKIT PANJANG PLAZA|1 JELEBU ROAD,bossini|bossini enterprises,677743,m200747887
,L1800450421,,LOT 1|LOT ONE|21 CHOA CHU KANG,bossini|bossini enterprises,689812,m200747887
,L0400140006,,PLAZA SINGAPURA|68 ORCHARD ROAD,Watsons|198702314R|watsons card,,m200772571
,L0200210057,,JUNCTION 8|9 BISHAN PLACE,THE BODY SHOP|is our source|thebodyshop,579837,M20119094X
